4. Your Pin code,5. Approximate number of stray dogs you see daily in your area,"6. Among the stray dogs you observe in your area, what is the approximate male-to-female ratio?",7. Have you noticed an increase in stray dog population over the past year?,8. Time when you see most stray dogs:,9. Approximate number of puppy litters you've observed in the past 6 months:,10.  What typically happens to puppies in your area? (Select all that apply),11. Common behavior of strays in your area:,12. Do dogs form packs in your area?,13. Have you or anyone you know been bitten/chased by a stray dog?,"14. If yes, when did the last incident occur?",15. Are there food outlets/restaurants nearby that attract dogs?,16. Are there open garbage dumps in your area?,17. Presence of water sources:,18. Do residents feed stray dogs?,20. Have you seen sterilized dogs (ear-notched)?,21.  Have you seen any injured dog in the past 6 months?,severity,24. Has this issue affected your quality of life?
208001,6-10,about the same,1,night,3-4,many survive and grow into adult strays,friendly,1,0,,0,1,0,1,0,1-2,1.0,0
208014,6-10,about the same,0,evening,5-6,"high mortality rate (accidents, illness)",friendly,1,1,2024,0,1,0,1,0,3-4,3.0,0
208001,15+,about the same,1,night,6+,don't know what happens to them,neutral,1,0,2024,1,1,1,1,0,3-4,3.0,0
208007,6-10,more males,maybe,morning,5-6,"some are adopted by residents;high mortality rate (accidents, illness)",aggresive,1,1,about many years ago ,0,1,by underground water pipelines ,1,0,1-2,4.0,0
208013,0-5,about the same,1,evening,6+,don't know what happens to them,friendly,0,0,na,1,1,1,0,0,3-4,2.0,0
208001,6-10,about the same,1,night,3-4,many survive and grow into adult strays,friendly,0,0,na,maybe,0,open drain ,1,maybe,1-2,2.0,0
208002,0-5,more females,maybe,night,1-2,many survive and grow into adult strays;relocated by authorities,neutral,0,1,around a year ago,0,0,0,1,1,1-2,3.0,0
208001,6-10,cannot differentiate / not sure,0,evening,3-4,many survive and grow into adult strays,friendly,0,0,around a year ago,1,0,0,1,1,1-2,3.0,0
208011,0-5,about the same,maybe,evening,3-4,"many survive and grow into adult strays;some are adopted by residents;high mortality rate (accidents, illness)",friendly,1,0,around a year ago,0,maybe,0,1,0,1-2,2.0,0
208023,6-10,more males,1,night,1-2,"high mortality rate (accidents, illness)",aggresive,0,1,last month,0,1,0,1,0,1-2,3.0,1
208010,6-10,cannot differentiate / not sure,1,night,3-4,many survive and grow into adult strays,neutral,1,0,last month,0,0,y,1,0,1-2,2.0,1
208002,6-10,about the same,0,night,3-4,"high mortality rate (accidents, illness)",neutral,1,1,about 8 years ago,0,0,drainage ,1,1,0,1.0,0
208001,6-10,cannot differentiate / not sure,1,night,not sure,don't know what happens to them,neutral,1,0,about 8 years ago,maybe,1,improper ,maybe,0,0,2.0,maybe
208011,6-10,about the same,0,night,3-4,"high mortality rate (accidents, illness)",friendly,1,0,na,0,1,1,1,0,1-2,1.0,1
208001,10-15,cannot differentiate / not sure,1,night,not sure,many survive and grow into adult strays,neutral,1,0,na,1,0,1,maybe,maybe,0,4.0,1
208012,6-10,more males,1,night,not sure,many survive and grow into adult strays;some are adopted by residents,friendly,1,0,na,0,1,0,1,0,0,2.0,0
208014,15+,more males,0,evening,6+,"many survive and grow into adult strays;high mortality rate (accidents, illness)",friendly,1,0,na,1,0,0,maybe,1,0,2.0,maybe
208001,10-15,about the same,1,night,6+,many survive and grow into adult strays,friendly,1,1,last yr ,0,1,yes...,1,0,3-4,3.0,1
208013,6-10,more males,1,evening,3-4,"many survive and grow into adult strays;some are adopted by residents;high mortality rate (accidents, illness)",neutral,1,1,last month,0,0,yes...,1,0,1-2,1.0,0
208001,10-15,more males,1,morning,5-6,many survive and grow into adult strays,friendly,1,0,last month,1,0,sufficient,1,0,1-2,2.0,0
